row_number,index_solo,long_solo,lat_solo,alt_solo,pontos_solo,cob_pais_solo,cob_arb_solo,solo_exp_solo,a_pav_solo,a_edf_solo,agua_solo,index,dia,long,lat,hora,temp,ur,alt,v,distance
1,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,0,2011-09-25 00:00:00,609195,8268689,19:31:23,30.4660557405795,51.2671593736392,198 m,0 km/h,134.647688431699
2,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1,2011-09-25 00:00:00,609195,8268689,19:31:33,30.4660557405795,51.3647026000628,198 m,2 km/h,134.647688431699
3,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,2,2011-09-25 00:00:00,609189,8268692,19:31:43,30.4660557405795,51.3647026000628,198 m,1.4 km/h,127.941392832812
4,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,3,2011-09-25 00:00:00,609185,8268693,19:31:53,30.4660557405795,51.3647026000628,198 m,0 km/h,123.943535531306
5,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,4,2011-09-25 00:00:00,609185,8268693,19:32:03,30.4660557405795,51.4622458264864,198 m,0 km/h,123.943535531306
6,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,5,2011-09-25 00:00:00,609185,8268693,19:32:13,30.4660557405795,51.4622458264864,198 m,0 km/h,123.943535531306
7,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,6,2011-09-25 00:00:00,609185,8268693,19:32:23,30.4660557405795,51.4622458264864,198 m,6 km/h,123.943535531306
8,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,7,2011-09-25 00:00:00,609196,8268679,19:32:33,30.4660557405795,51.55978905291,198 m,12 km/h,140.459958707099
9,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,8,2011-09-25 00:00:00,609169,8268700,19:32:43,30.4660557405795,51.55978905291,199 m,34 km/h,106.550457530693
10,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,9,2011-09-25 00:00:00,609082,8268737,19:32:53,30.4660557405795,51.4622458264864,201 m,37 km/h,16.1554944214035
