row_number,index_solo,long_solo,lat_solo,alt_solo,pontos_solo,cob_pais_solo,cob_arb_solo,solo_exp_solo,a_pav_solo,a_edf_solo,agua_solo,index,dia,long,lat,hora,temp,ur,alt,v,distance
1,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,0,2016-07-12 00:00:00,609076,8268746, 0:0:49,30.2,42.3,196.7,0.17,6
2,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,1,2016-07-12 00:00:00,609076,8268746, 0:0:50,30.2,42.3,197.2,0.17,6
3,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,2,2016-07-12 00:00:00,609076,8268745, 0:0:51,30.2,42.3,197.4,0.17,7
4,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,3,2016-07-12 00:00:00,609077,8268745, 0:0:52,30.2,42.3,197.6,0.17,7.07106781186548
5,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,4,2016-07-12 00:00:00,609077,8268745, 0:0:53,30.1,42.3,197.8,0.17,7.07106781186548
6,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,5,2016-07-12 00:00:00,609077,8268745, 0:0:54,30.1,42.3,197.8,0.07,7.07106781186548
7,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,6,2016-07-12 00:00:00,609077,8268745, 0:0:55,30.1,42.3,198.2,0.07,7.07106781186548
8,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,7,2016-07-12 00:00:00,609077,8268745, 0:0:56,30.2,42.3,198.3,0.07,7.07106781186548
9,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,8,2016-07-12 00:00:00,609077,8268745, 0:0:57,30.2,42.3,198.5,0.07,7.07106781186548
10,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,9,2016-07-12 00:00:00,609077,8268744, 0:0:58,30.2,42.3,198.6,0.07,8.06225774829855
11,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,10,2016-07-12 00:00:00,609077,8268744, 0:0:59,30.1,42.2,198.6,0.06,8.06225774829855
12,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,11,2016-07-12 00:00:00,609077,8268744, 0:1:0,30.1,42.2,198.6,0,8.06225774829855
13,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,12,2016-07-12 00:00:00,609077,8268744, 0:1:1,30.1,42.2,199,0,8.06225774829855
14,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,13,2016-07-12 00:00:00,609077,8268744, 0:1:2,30.2,42.2,199.1,0,8.06225774829855
15,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,14,2016-07-12 00:00:00,609077,8268744, 0:1:3,30.2,42.2,199.1,0,8.06225774829855
16,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,15,2016-07-12 00:00:00,609077,8268744, 0:1:4,30.2,42.2,199.1,0.04,8.06225774829855
17,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,16,2016-07-12 00:00:00,609077,8268744, 0:1:5,30.2,42.1,199.2,0.04,8.06225774829855
18,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,17,2016-07-12 00:00:00,609077,8268744, 0:1:6,30.2,42.1,199.2,0.04,8.06225774829855
19,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,18,2016-07-12 00:00:00,609077,8268744, 0:1:7,30.2,42.1,199.4,0.04,8.06225774829855
20,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,19,2016-07-12 00:00:00,609078,8268745, 0:1:14,30.2,41.5,199.3,0.04,7.28010988928052
