row_number,index_solo,long_solo,lat_solo,alt_solo,pontos_solo,cob_pais_solo,cob_arb_solo,solo_exp_solo,a_pav_solo,a_edf_solo,agua_solo,index,dia,long,lat,hora,temp,ur,alt,v,distance
1,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,0,2016-05-11 00:00:00,609059,8268748, 23:57:4,26.4,72.7,195,0.65,17.464249196573
2,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,1,2016-05-11 00:00:00,609060,8268748, 23:57:5,26.4,72.7,196.8,0.65,16.4924225024706
3,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,2,2016-05-11 00:00:00,609060,8268748, 23:57:6,26.4,72.7,197.5,0.65,16.4924225024706
4,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,3,2016-05-11 00:00:00,609060,8268750, 23:57:7,26.4,73.5,198.3,0.65,16.1245154965971
5,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,4,2016-05-11 00:00:00,609060,8268750, 23:57:8,26.4,73.5,199,0.65,16.1245154965971
6,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,5,2016-05-11 00:00:00,609061,8268750, 23:57:9,26.4,73.5,199,0.72,15.1327459504216
7,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,6,2016-05-11 00:00:00,609061,8268751, 23:57:10,26.4,73.5,201,0.72,15.0332963783729
8,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,7,2016-05-11 00:00:00,609061,8268751, 23:57:11,26.4,73.5,201.5,0.72,15.0332963783729
9,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,8,2016-05-11 00:00:00,609061,8268752, 23:57:12,26.4,73.5,202.6,0.72,15
10,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,9,2016-05-11 00:00:00,609061,8268752, 23:57:13,26.4,73.4,202.6,0.72,15
11,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,10,2016-05-11 00:00:00,609061,8268752, 23:57:14,26.4,73.4,202.6,0.46,15
12,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,11,2016-05-11 00:00:00,609061,8268752, 23:57:15,26.4,73.4,204,0.46,15
13,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,12,2016-05-11 00:00:00,609061,8268753, 23:57:16,26.4,73.4,204.6,0.46,15.0332963783729
14,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,13,2016-05-11 00:00:00,609061,8268753, 23:57:17,26.4,73.4,206,0.46,15.0332963783729
15,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,14,2016-05-11 00:00:00,609061,8268754, 23:57:18,26.4,73.4,207.4,0.46,15.1327459504216
16,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,15,2016-05-11 00:00:00,609061,8268754, 23:57:19,26.4,73.3,207.4,0.63,15.1327459504216
17,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,16,2016-05-11 00:00:00,609061,8268754, 23:57:20,26.4,73.3,208.6,0.63,15.1327459504216
18,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,17,2016-05-11 00:00:00,609061,8268754, 23:57:21,26.4,73.3,209.3,0.63,15.1327459504216
19,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,18,2016-05-11 00:00:00,609062,8268755, 23:57:22,26.4,73.2,210.9,0.63,14.3178210632764
