row_number,index_solo,long_solo,lat_solo,alt_solo,pontos_solo,cob_pais_solo,cob_arb_solo,solo_exp_solo,a_pav_solo,a_edf_solo,agua_solo,index,dia,long,lat,hora,temp,ur,alt,v,distance
35,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,34,2016-10-28 00:00:00,609080,8268751, 0:4:48,24.6,61.4,193.1,0.07,4.12310562561766
36,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,35,2016-10-28 00:00:00,609080,8268751, 0:4:49,24.6,61.4,193.1,0.07,4.12310562561766
37,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,36,2016-10-28 00:00:00,609080,8268751, 0:4:51,24.7,61.5,192.9,0.07,4.12310562561766
38,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,37,2016-10-28 00:00:00,609080,8268751, 0:4:52,24.7,61.5,192.8,0.07,4.12310562561766
39,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,38,2016-10-28 00:00:00,609080,8268751, 0:4:53,24.7,61.5,192.8,0.07,4.12310562561766
40,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,39,2016-10-28 00:00:00,609080,8268751, 0:4:54,24.6,61.4,192.8,0.09,4.12310562561766
41,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,40,2016-10-28 00:00:00,609080,8268751, 0:4:55,24.6,61.4,192.8,0.09,4.12310562561766
42,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,41,2016-10-28 00:00:00,609080,8268751, 0:4:56,24.6,61.4,192.8,0.09,4.12310562561766
43,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,42,2016-10-28 00:00:00,609080,8268751, 0:4:57,24.6,61.4,193,0.09,4.12310562561766
44,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,43,2016-10-28 00:00:00,609080,8268751, 0:4:58,24.6,61.4,193,0.09,4.12310562561766
45,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,44,2016-10-28 00:00:00,609080,8268751, 0:4:59,24.6,61.4,193,0.13,4.12310562561766
46,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,45,2016-10-28 00:00:00,609080,8268751, 0:5:0,24.6,61.4,193,0.13,4.12310562561766
47,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,46,2016-10-28 00:00:00,609080,8268751, 0:5:1,24.6,61.4,193,0.13,4.12310562561766
48,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,47,2016-10-28 00:00:00,609080,8268751, 0:5:2,24.6,61.4,193,0.13,4.12310562561766
49,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,48,2016-10-28 00:00:00,609080,8268751, 0:5:3,24.6,61.4,193,0.13,4.12310562561766
50,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,49,2016-10-28 00:00:00,609080,8268751, 0:5:4,24.6,61.4,193,0.69,4.12310562561766
51,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,50,2016-10-28 00:00:00,609080,8268749, 0:5:5,24.6,61.4,192.9,0.69,5
52,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,51,2016-10-28 00:00:00,609080,8268749, 0:5:6,24.6,61.5,192.7,0.69,5
53,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,52,2016-10-28 00:00:00,609080,8268749, 0:5:7,24.6,61.5,192.5,0.69,5
54,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,53,2016-10-28 00:00:00,609080,8268749, 0:5:8,24.6,61.5,192.3,0.69,5
55,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,54,2016-10-28 00:00:00,609080,8268749, 0:5:9,24.6,61.4,192.3,0.59,5
56,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,55,2016-10-28 00:00:00,609080,8268749, 0:5:10,24.6,61.4,192.2,0.59,5
57,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,56,2016-10-28 00:00:00,609080,8268749, 0:5:11,24.6,61.4,192,0.59,5
58,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,57,2016-10-28 00:00:00,609081,8268749, 0:5:12,24.6,61.5,191.7,0.59,5.8309518948453
59,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,58,2016-10-28 00:00:00,609081,8268748, 0:5:13,24.6,61.5,191.7,0.59,6.40312423743285
60,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,59,2016-10-28 00:00:00,609081,8268748, 0:5:14,24.6,61.5,191.7,1.07,6.40312423743285
61,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,60,2016-10-28 00:00:00,609081,8268748, 0:5:15,24.6,61.4,191.2,1.07,6.40312423743285
62,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,61,2016-10-28 00:00:00,609081,8268748, 0:5:16,24.6,61.4,191.2,1.07,6.40312423743285
63,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,62,2016-10-28 00:00:00,609081,8268747, 0:5:17,24.6,61.4,191.1,1.07,7.07106781186548
64,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,63,2016-10-28 00:00:00,609081,8268747, 0:5:18,24.6,61.4,191,1.07,7.07106781186548
65,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,64,2016-10-28 00:00:00,609081,8268747, 0:5:19,24.6,61.4,191,2.04,7.07106781186548
66,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,65,2016-10-28 00:00:00,609080,8268746, 0:5:20,24.6,61.4,191,2.04,7.21110255092798
67,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,66,2016-10-28 00:00:00,609080,8268745, 0:5:21,24.6,61.5,190.6,2.04,8.06225774829855
68,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,67,2016-10-28 00:00:00,609079,8268744, 0:5:22,24.6,61.5,190.3,2.04,8.54400374531753
69,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,68,2016-10-28 00:00:00,609076,8268743, 0:5:23,24.6,61.5,189.8,2.04,9
70,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,69,2016-10-28 00:00:00,609074,8268743, 0:5:24,24.6,61.5,189.8,9.37,9.21954445729289
71,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,70,2016-10-28 00:00:00,609070,8268744, 0:5:25,24.6,61.5,189.6,9.37,10
72,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,71,2016-10-28 00:00:00,609066,8268745, 0:5:26,24.6,61.5,189.6,9.37,12.2065556157337
73,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,72,2016-10-28 00:00:00,609062,8268746, 0:5:27,24.6,61.6,189.7,9.37,15.2315462117278
74,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,73,2016-10-28 00:00:00,609056,8268748, 0:5:28,24.6,61.6,189.6,9.37,20.3960780543711
75,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,74,2016-10-28 00:00:00,609050,8268751, 0:5:29,24.6,61.6,189.6,21.43,26.0192236625154
76,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,75,2016-10-28 00:00:00,609045,8268753, 0:5:30,24.6,61.7,189.5,21.43,31.0161248385416
77,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,76,2016-10-28 00:00:00,609037,8268755, 0:5:31,24.6,61.7,189.4,21.43,39.1152144312159
78,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,77,2016-10-28 00:00:00,609031,8268759, 0:5:32,24.6,61.7,189.4,21.43,45.5411901469428
79,0,609076,8268752,,P1,19.01,8.31,15.44,23.61,33.62,0,78,2016-10-28 00:00:00,609023,8268762, 0:5:33,24.6,61.7,189.6,21.43,53.9351462406472
