row_number,index_solo,long_solo,lat_solo,alt_solo,pontos_solo,cob_pais_solo,cob_arb_solo,solo_exp_solo,a_pav_solo,a_edf_solo,agua_solo,index,dia,long,lat,hora,temp,ur,alt,v,distance
1,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,0,2012-02-28 00:00:00,609179,8268696,19:51:47,27.1151693346095,78.0915466401306,211 m,0 km/h,117.239071985409
2,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1,2012-02-28 00:00:00,609179,8268696,19:51:57,27.1151693346095,77.994003413707,211 m,0 km/h,117.239071985409
3,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,2,2012-02-28 00:00:00,609179,8268696,19:52:07,27.1151693346095,77.994003413707,210 m,0 km/h,117.239071985409
4,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,3,2012-02-28 00:00:00,609179,8268696,19:52:17,27.1151693346095,77.994003413707,210 m,0 km/h,117.239071985409
5,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,4,2012-02-28 00:00:00,609179,8268696,19:52:27,27.1151693346095,77.994003413707,211 m,0 km/h,117.239071985409
6,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,5,2012-02-28 00:00:00,609179,8268696,19:52:37,27.0136273223074,78.1890898665542,210 m,1.4 km/h,117.239071985409
7,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,6,2012-02-28 00:00:00,609176,8268697,19:52:47,27.0136273223074,78.2866330929778,210 m,25 km/h,114.127122105133
8,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,7,2012-02-28 00:00:00,609111,8268724,19:52:57,27.0136273223074,78.481719545825,212 m,33 km/h,44.8218696620299
9,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,8,2012-02-28 00:00:00,609027,8268760,19:53:07,27.0136273223074,78.3841763194014,212 m,36 km/h,49.6487663492256
515,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,514,2012-03-18 00:00:00,609181,8268695,19:33:09,28.4352154945371,76.3357685645057,195 m,0 km/h,119.473846510439
516,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,515,2012-03-18 00:00:00,609181,8268695,19:33:19,28.4352154945371,76.3357685645057,195 m,0 km/h,119.473846510439
517,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,516,2012-03-18 00:00:00,609181,8268695,19:33:29,28.5367575068392,76.2382253380821,195 m,0 km/h,119.473846510439
518,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,517,2012-03-18 00:00:00,609181,8268695,19:33:39,28.4352154945371,75.8480524323876,195 m,0 km/h,119.473846510439
519,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,518,2012-03-18 00:00:00,609181,8268695,19:33:49,28.5367575068392,75.8480524323876,195 m,0 km/h,119.473846510439
520,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,519,2012-03-18 00:00:00,609181,8268695,19:33:59,28.5367575068392,75.8480524323876,195 m,0 km/h,119.473846510439
521,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,520,2012-03-18 00:00:00,609181,8268695,19:34:09,28.5367575068392,75.8480524323876,195 m,23 km/h,119.473846510439
522,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,521,2012-03-18 00:00:00,609121,8268720,19:34:19,28.5367575068392,75.750509205964,197 m,33 km/h,55.2177507691141
523,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,522,2012-03-18 00:00:00,609037,8268755,19:34:29,28.5367575068392,75.6529659795404,197 m,35 km/h,39.1152144312159
1034,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1033,2012-03-19 00:00:00,609169,8268700,19:49:51,29.0444675683498,78.969435677943,202 m,0 km/h,106.550457530693
1035,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1034,2012-03-19 00:00:00,609169,8268700,19:50:01,29.0444675683498,79.0669789043666,202 m,0 km/h,106.550457530693
1036,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1035,2012-03-19 00:00:00,609169,8268700,19:50:11,29.0444675683498,78.969435677943,202 m,0 km/h,106.550457530693
1037,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1036,2012-03-19 00:00:00,609169,8268700,19:50:21,29.0444675683498,79.0669789043666,202 m,0 km/h,106.550457530693
1038,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1037,2012-03-19 00:00:00,609169,8268700,19:50:31,28.9429255560477,79.2620653572138,202 m,0 km/h,106.550457530693
1039,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1038,2012-03-19 00:00:00,609169,8268700,19:50:41,28.9429255560477,79.1645221307902,202 m,0 km/h,106.550457530693
1040,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1039,2012-03-19 00:00:00,609169,8268700,19:50:51,28.9429255560477,79.2620653572138,202 m,19 km/h,106.550457530693
1041,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1040,2012-03-19 00:00:00,609120,8268720,19:51:01,28.9429255560477,79.3596085836374,203 m,26 km/h,54.4058820349418
1042,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1041,2012-03-19 00:00:00,609053,8268749,19:51:11,28.9429255560477,79.457151810061,204 m,32 km/h,23.1948270094864
1043,0,609076,8268752,,P1,21.74,6.34,10.23,35.2,26.5,0,1042,2012-03-19 00:00:00,608972,8268783,19:51:21,28.9429255560477,79.457151810061,205 m,34 km/h,108.521887193322
1590,1,608873,8268846,,P1.1,31.6410037936421,7.98896395025663,7.63800133893251,15.5080843121741,37.2239466049946,0,9,2012-02-28 00:00:00,608935,8268798,19:53:17,27.0136273223074,78.3841763194014,213 m,38 km/h,78.4091831356506
1591,1,608873,8268846,,P1.1,31.6410037936421,7.98896395025663,7.63800133893251,15.5080843121741,37.2239466049946,0,10,2012-02-28 00:00:00,608838,8268839,19:53:27,26.9120853100053,78.481719545825,213 m,37 km/h,35.6931365951495
1592,1,608873,8268846,,P1.1,31.6410037936421,7.98896395025663,7.63800133893251,15.5080843121741,37.2239466049946,0,11,2012-02-28 00:00:00,608743,8268879,19:53:37,26.9120853100053,78.7743492250958,213 m,37 km/h,134.123077805425
2104,1,608873,8268846,,P1.1,31.6410037936421,7.98896395025663,7.63800133893251,15.5080843121741,37.2239466049946,0,523,2012-03-18 00:00:00,608948,8268793,19:34:39,28.5367575068392,75.5554227531168,198 m,35 km/h,91.8368117913509
2105,1,608873,8268846,,P1.1,31.6410037936421,7.98896395025663,7.63800133893251,15.5080843121741,37.2239466049946,0,524,2012-03-18 00:00:00,608859,8268830,19:34:49,28.5367575068392,76.0431388852349,198 m,36 km/h,21.2602916254693
2106,1,608873,8268846,,P1.1,31.6410037936421,7.98896395025663,7.63800133893251,15.5080843121741,37.2239466049946,0,525,2012-03-18 00:00:00,608767,8268869,19:34:59,28.5367575068392,76.6283982437765,198 m,35 km/h,108.466584716216
2624,1,608873,8268846,,P1.1,31.6410037936421,7.98896395025663,7.63800133893251,15.5080843121741,37.2239466049946,0,1043,2012-03-19 00:00:00,608886,8268819,19:51:31,28.8413835437456,79.2620653572138,205 m,35 km/h,29.9666481275434
2625,1,608873,8268846,,P1.1,31.6410037936421,7.98896395025663,7.63800133893251,15.5080843121741,37.2239466049946,0,1044,2012-03-19 00:00:00,608798,8268856,19:51:41,28.8413835437456,79.1645221307902,206 m,37 km/h,75.6637297521078
2626,1,608873,8268846,,P1.1,31.6410037936421,7.98896395025663,7.63800133893251,15.5080843121741,37.2239466049946,0,1045,2012-03-19 00:00:00,608702,8268897,19:51:51,28.8413835437456,79.0669789043666,206 m,35 km/h,178.443268295557
3173,2,608502,8268998,,P1.3,33.3575334979476,7.97089597785286,10.1764351561908,15.7834271422132,32.7117082257955,0,12,2012-02-28 00:00:00,608650,8268920,19:53:47,26.9120853100053,78.7743492250958,214 m,35 km/h,167.296144605905
3174,2,608502,8268998,,P1.3,33.3575334979476,7.97089597785286,10.1764351561908,15.7834271422132,32.7117082257955,0,13,2012-02-28 00:00:00,608560,8268959,19:53:57,26.9120853100053,78.8718924515194,214 m,37 km/h,69.8927750200262
3175,2,608502,8268998,,P1.3,33.3575334979476,7.97089597785286,10.1764351561908,15.7834271422132,32.7117082257955,0,14,2012-02-28 00:00:00,608467,8269000,19:54:07,26.8105432977032,78.8718924515194,214 m,34 km/h,35.0570962859162
3176,2,608502,8268998,,P1.3,33.3575334979476,7.97089597785286,10.1764351561908,15.7834271422132,32.7117082257955,0,15,2012-02-28 00:00:00,608382,8269039,19:54:17,26.8105432977032,78.969435677943,213 m,29 km/h,126.81088281374
3687,2,608502,8268998,,P1.3,33.3575334979476,7.97089597785286,10.1764351561908,15.7834271422132,32.7117082257955,0,526,2012-03-18 00:00:00,608678,8268907,19:35:09,28.5367575068392,76.6283982437765,198 m,35 km/h,198.133793180265
3688,2,608502,8268998,,P1.3,33.3575334979476,7.97089597785286,10.1764351561908,15.7834271422132,32.7117082257955,0,527,2012-03-18 00:00:00,608589,8268947,19:35:19,28.5367575068392,76.3357685645057,199 m,37 km/h,100.84641788383
3689,2,608502,8268998,,P1.3,33.3575334979476,7.97089597785286,10.1764351561908,15.7834271422132,32.7117082257955,0,528,2012-03-18 00:00:00,608495,8268988,19:35:29,28.5367575068392,76.6283982437765,199 m,37 km/h,12.2065556157337
3690,2,608502,8268998,,P1.3,33.3575334979476,7.97089597785286,10.1764351561908,15.7834271422132,32.7117082257955,0,529,2012-03-18 00:00:00,608402,8269030,19:35:39,28.5367575068392,76.6283982437765,199 m,26 km/h,104.995237987254
3691,2,608502,8268998,,P1.3,33.3575334979476,7.97089597785286,10.1764351561908,15.7834271422132,32.7117082257955,0,530,2012-03-18 00:00:00,608337,8269060,19:35:49,28.4352154945371,77.2136576023181,198 m,27 km/h,176.264006535651
4207,2,608502,8268998,,P1.3,33.3575334979476,7.97089597785286,10.1764351561908,15.7834271422132,32.7117082257955,0,1046,2012-03-19 00:00:00,608615,8268935,19:52:01,28.8413835437456,78.8718924515194,206 m,32 km/h,129.375422704623
4208,2,608502,8268998,,P1.3,33.3575334979476,7.97089597785286,10.1764351561908,15.7834271422132,32.7117082257955,0,1047,2012-03-19 00:00:00,608532,8268972,19:52:11,28.8413835437456,78.8718924515194,206 m,30 km/h,39.6988664825584
4209,2,608502,8268998,,P1.3,33.3575334979476,7.97089597785286,10.1764351561908,15.7834271422132,32.7117082257955,0,1048,2012-03-19 00:00:00,608457,8269005,19:52:21,28.8413835437456,78.8718924515194,205 m,19 km/h,45.5411901469428
4210,2,608502,8268998,,P1.3,33.3575334979476,7.97089597785286,10.1764351561908,15.7834271422132,32.7117082257955,0,1049,2012-03-19 00:00:00,608409,8269027,19:52:31,28.7398415314434,78.8718924515194,206 m,21 km/h,97.4166310236604
4211,2,608502,8268998,,P1.3,33.3575334979476,7.97089597785286,10.1764351561908,15.7834271422132,32.7117082257955,0,1050,2012-03-19 00:00:00,608355,8269052,19:52:41,28.7398415314434,78.6768059986722,205 m,19 km/h,156.604597633658
4757,3,608133,8269155,,P1.6,26.7579208731024,10.5046126087286,12.0466729738253,28.4923894949882,22.1984040493555,0,16,2012-02-28 00:00:00,608310,8269073,19:54:27,26.8105432977032,78.969435677943,213 m,30 km/h,195.071781659983
4758,3,608133,8269155,,P1.6,26.7579208731024,10.5046126087286,12.0466729738253,28.4923894949882,22.1984040493555,0,17,2012-02-28 00:00:00,608234,8269107,19:54:37,26.8105432977032,79.0669789043666,213 m,33 km/h,111.825757319144
4759,3,608133,8269155,,P1.6,26.7579208731024,10.5046126087286,12.0466729738253,28.4923894949882,22.1984040493555,0,18,2012-02-28 00:00:00,608150,8269143,19:54:47,26.8105432977032,78.969435677943,213 m,35 km/h,20.8086520466848
4760,3,608133,8269155,,P1.6,26.7579208731024,10.5046126087286,12.0466729738253,28.4923894949882,22.1984040493555,0,19,2012-02-28 00:00:00,608061,8269179,19:54:57,26.8105432977032,79.0669789043666,213 m,32 km/h,75.8946638440411
4761,3,608133,8269155,,P1.6,26.7579208731024,10.5046126087286,12.0466729738253,28.4923894949882,22.1984040493555,0,20,2012-02-28 00:00:00,607979,8269213,19:55:07,26.7090012854011,79.2620653572138,212 m,36 km/h,164.560019445794
5272,3,608133,8269155,,P1.6,26.7579208731024,10.5046126087286,12.0466729738253,28.4923894949882,22.1984040493555,0,531,2012-03-18 00:00:00,608268,8269092,19:35:59,28.4352154945371,77.2136576023181,199 m,36 km/h,148.976508215222
5273,3,608133,8269155,,P1.6,26.7579208731024,10.5046126087286,12.0466729738253,28.4923894949882,22.1984040493555,0,532,2012-03-18 00:00:00,608176,8269132,19:36:09,28.4352154945371,77.2136576023181,198 m,34 km/h,48.7647413609464
5274,3,608133,8269155,,P1.6,26.7579208731024,10.5046126087286,12.0466729738253,28.4923894949882,22.1984040493555,0,533,2012-03-18 00:00:00,608088,8269168,19:36:19,28.4352154945371,77.5062872815889,199 m,32 km/h,46.8401537145215
