DIA,LONG,LAT,HORA,T(°C) ,Ur (%),ALT (m),V(km/h),Unnamed: 8,LONG,LAT,ALT (m),PONTOS,Unnamed: 4,COB. PAIS (%),COB. ARB.(%),SOLO EXP.(%),A. PAV.(%),A. EDF. (%),ÁGUA(%)
2011-09-28,603587,8270652,19:53:36,32.19226994971551,50.194183882979544,175 m,0 km/h,,596460,8274004,,P11.3,,9.524337018410616,11.256471040018907,0.3995244108676548,43.115773460058634,35.70389407064419,0.0
2011-09-28,603587,8270652,19:53:46,32.19226994971551,50.29172710940315,175 m,0 km/h,,596460,8274004,,P11.3,,9.524337018410616,11.256471040018907,0.3995244108676548,43.115773460058634,35.70389407064419,0.0
2011-09-28,603587,8270652,19:53:56,32.19226994971551,50.38927033582675,175 m,7 km/h,,596460,8274004,,P11.3,,9.524337018410616,11.256471040018907,0.3995244108676548,43.115773460058634,35.70389407064419,0.0
2011-09-28,603568,8270651,19:54:06,32.19226994971551,50.38927033582675,175 m,28 km/h,,596460,8274004,,P11.3,,9.524337018410616,11.256471040018907,0.3995244108676548,43.115773460058634,35.70389407064419,0.0
2011-09-28,603490,8270642,19:54:16,32.19226994971551,50.38927033582675,176 m,32 km/h,,596460,8274004,,P11.3,,9.524337018410616,11.256471040018907,0.3995244108676548,43.115773460058634,35.70389407064419,0.0
2011-09-28,603403,8270634,19:54:26,32.09072793741339,50.29172710940315,174 m,31 km/h,,596460,8274004,,P11.3,,9.524337018410616,11.256471040018907,0.3995244108676548,43.115773460058634,35.70389407064419,0.0
2011-09-28,603316,8270629,19:54:36,32.09072793741339,50.48681356225036,175 m,35 km/h,,596460,8274004,,P11.3,,9.524337018410616,11.256471040018907,0.3995244108676548,43.115773460058634,35.70389407064419,0.0
2011-09-28,603219,8270626,19:54:46,31.98918592511127,50.87698646794478,173 m,34 km/h,,596460,8274004,,P11.3,,9.524337018410616,11.256471040018907,0.3995244108676548,43.115773460058634,35.70389407064419,0.0
2011-09-28,603127,8270650,19:54:56,31.98918592511127,50.974529694368385,173 m,32 km/h,,596460,8274004,,P11.3,,9.524337018410616,11.256471040018907,0.3995244108676548,43.115773460058634,35.70389407064419,0.0
2011-09-28,603045,8270684,19:55:06,31.88764391280915,50.68190001509757,174 m,34 km/h,,596460,8274004,,P11.3,,9.524337018410616,11.256471040018907,0.3995244108676548,43.115773460058634,35.70389407064419,0.0
2011-09-28,602961,8270726,19:55:16,31.88764391280915,50.68190001509757,175 m,32 km/h,,596460,8274004,,P11.3,,9.524337018410616,11.256471040018907,0.3995244108676548,43.115773460058634,35.70389407064419,0.0
2011-09-28,602890,8270777,19:55:26,31.78610190050703,50.77944324152117,176 m,31 km/h,,596460,8274004,,P11.3,,9.524337018410616,11.256471040018907,0.3995244108676548,43.115773460058634,35.70389407064419,0.0
2011-09-28,602820,8270828,19:55:36,31.78610190050703,50.87698646794478,176 m,32 km/h,,596460,8274004,,P11.3,,9.524337018410616,11.256471040018907,0.3995244108676548,43.115773460058634,35.70389407064419,0.0
2011-09-28,602748,8270879,19:55:46,31.78610190050703,50.974529694368385,175 m,33 km/h,,596460,8274004,,P11.3,,9.524337018410616,11.256471040018907,0.3995244108676548,43.115773460058634,35.70389407064419,0.0
2011-09-28,602673,8270932,19:55:56,31.684559888204912,50.974529694368385,174 m,32 km/h,,596460,8274004,,P11.3,,9.524337018410616,11.256471040018907,0.3995244108676548,43.115773460058634,35.70389407064419,0.0
2011-09-28,602601,8270984,19:56:06,31.684559888204912,50.974529694368385,173 m,34 km/h,,596460,8274004,,P11.3,,9.524337018410616,11.256471040018907,0.3995244108676548,43.115773460058634,35.70389407064419,0.0
2011-09-28,602524,8271040,19:56:16,31.684559888204912,51.07207292079198,170 m,33 km/h,,596460,8274004,,P11.3,,9.524337018410616,11.256471040018907,0.3995244108676548,43.115773460058634,35.70389407064419,0.0
2011-09-28,602450,8271093,19:56:26,31.684559888204912,51.07207292079198,168 m,32 km/h,,596460,8274004,,P11.3,,9.524337018410616,11.256471040018907,0.3995244108676548,43.115773460058634,35.70389407064419,0.0
2011-09-28,602379,8271147,19:56:36,31.684559888204912,51.07207292079198,166 m,31 km/h,,596460,8274004,,P11.3,,9.524337018410616,11.256471040018907,0.3995244108676548,43.115773460058634,35.70389407064419,0.0
2011-09-28,602310,8271198,19:56:46,31.684559888204912,51.364702600062806,166 m,34 km/h,,596460,8274004,,P11.3,,9.524337018410616,11.256471040018907,0.3995244108676548,43.115773460058634,35.70389407064419,0.0
2011-09-28,602232,8271249,19:56:56,31.684559888204912,51.55978905291001,165 m,34 km/h,,596460,8274004,,P11.3,,9.524337018410616,11.256471040018907,0.3995244108676548,43.115773460058634,35.70389407064419,0.0
2011-09-28,602149,8271295,19:57:06,31.583017875902794,51.657332279333616,165 m,34 km/h,,596460,8274004,,P11.3,,9.524337018410616,11.256471040018907,0.3995244108676548,43.115773460058634,35.70389407064419,0.0
2011-09-28,602072,8271349,19:57:16,31.684559888204912,51.85241873218083,165 m,32 km/h,,596460,8274004,,P11.3,,9.524337018410616,11.256471040018907,0.3995244108676548,43.115773460058634,35.70389407064419,0.0
