DIA,LONG,LAT,HORA,T(°C) ,Ur (%),ALT (m),V(km/h),Unnamed: 8,LONG,LAT,ALT (m),PONTOS,Unnamed: 4,COB. PAIS (%),COB. ARB.(%),SOLO EXP.(%),A. PAV.(%),A. EDF. (%),ÁGUA(%)
2012-02-28,609179,8268696,19:51:47,27.115169334609543,78.09154664013056,211 m,0 km/h,P1,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2012-02-28,609179,8268696,19:51:57,27.115169334609543,77.99400341370696,211 m,0 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2012-02-28,609179,8268696,19:52:07,27.115169334609543,77.99400341370696,210 m,0 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2012-02-28,609179,8268696,19:52:17,27.115169334609543,77.99400341370696,210 m,0 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2012-02-28,609179,8268696,19:52:27,27.115169334609543,77.99400341370696,211 m,0 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2012-02-28,609179,8268696,19:52:37,27.01362732230742,78.18908986655416,210 m,1.4 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2012-02-28,609176,8268697,19:52:47,27.01362732230742,78.28663309297777,210 m,25 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2012-02-28,609111,8268724,19:52:57,27.01362732230742,78.48171954582499,212 m,33 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2012-02-28,609027,8268760,19:53:07,27.01362732230742,78.38417631940136,212 m,36 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2012-02-28,608935,8268798,19:53:17,27.01362732230742,78.38417631940136,213 m,38 km/h,,609076,8268752,,P1,,21.74,6.34,10.23,35.2,26.5,0.0
2012-02-28,608838,8268839,19:53:27,26.912085310005306,78.48171954582499,213 m,37 km/h,,608873,8268846,,P1.1,,31.6410037936421,7.988963950256629,7.638001338932505,15.508084312174141,37.22394660499462,0.0
2012-02-28,608743,8268879,19:53:37,26.912085310005306,78.77434922509579,213 m,37 km/h,,608873,8268846,,P1.1,,31.6410037936421,7.988963950256629,7.638001338932505,15.508084312174141,37.22394660499462,0.0
2012-02-28,608650,8268920,19:53:47,26.912085310005306,78.77434922509579,214 m,35 km/h,,608873,8268846,,P1.1,,31.6410037936421,7.988963950256629,7.638001338932505,15.508084312174141,37.22394660499462,0.0
2012-02-28,608560,8268959,19:53:57,26.912085310005306,78.8718924515194,214 m,37 km/h,,608873,8268846,,P1.1,,31.6410037936421,7.988963950256629,7.638001338932505,15.508084312174141,37.22394660499462,0.0
2012-02-28,608467,8269000,19:54:07,26.810543297703184,78.8718924515194,214 m,34 km/h,,608502,8268998,,P1.3,,33.35753349794764,7.97089597785286,10.176435156190786,15.783427142213199,32.71170822579552,0.0
2012-02-28,608382,8269039,19:54:17,26.810543297703184,78.96943567794301,213 m,29 km/h,,608502,8268998,,P1.3,,33.35753349794764,7.97089597785286,10.176435156190786,15.783427142213199,32.71170822579552,0.0
2012-02-28,608310,8269073,19:54:27,26.810543297703184,78.96943567794301,213 m,30 km/h,,608502,8268998,,P1.3,,33.35753349794764,7.97089597785286,10.176435156190786,15.783427142213199,32.71170822579552,0.0
2012-02-28,608234,8269107,19:54:37,26.810543297703184,79.06697890436661,213 m,33 km/h,,608502,8268998,,P1.3,,33.35753349794764,7.97089597785286,10.176435156190786,15.783427142213199,32.71170822579552,0.0
2012-02-28,608150,8269143,19:54:47,26.810543297703184,78.96943567794301,213 m,35 km/h,,608133,8269155,,P1.6,,26.757920873102364,10.504612608728628,12.046672973825292,28.492389494988203,22.198404049355513,0.0
2012-02-28,608061,8269179,19:54:57,26.810543297703184,79.06697890436661,213 m,32 km/h,,608133,8269155,,P1.6,,26.757920873102364,10.504612608728628,12.046672973825292,28.492389494988203,22.198404049355513,0.0
2012-02-28,607979,8269213,19:55:07,26.709001285401065,79.26206535721381,212 m,36 km/h,,608133,8269155,,P1.6,,26.757920873102364,10.504612608728628,12.046672973825292,28.492389494988203,22.198404049355513,0.0
2012-02-28,607888,8269252,19:55:17,26.709001285401065,79.1645221307902,212 m,35 km/h,,608133,8269155,,P1.6,,26.757920873102364,10.504612608728628,12.046672973825292,28.492389494988203,22.198404049355513,0.0
2012-02-28,607799,8269290,19:55:27,26.709001285401065,79.26206535721381,210 m,36 km/h,,608133,8269155,,P1.6,,26.757920873102364,10.504612608728628,12.046672973825292,28.492389494988203,22.198404049355513,0.0
2012-02-28,607707,8269329,19:55:37,26.709001285401065,79.35960858363742,210 m,35 km/h,,608133,8269155,,P1.6,,26.757920873102364,10.504612608728628,12.046672973825292,28.492389494988203,22.198404049355513,0.0
2012-02-28,607617,8269368,19:55:47,26.709001285401065,79.26206535721381,211 m,36 km/h,,608133,8269155,,P1.6,,26.757920873102364,10.504612608728628,12.046672973825292,28.492389494988203,22.198404049355513,0.0
2012-02-28,607524,8269407,19:55:57,26.709001285401065,79.1645221307902,212 m,35 km/h,,608133,8269155,,P1.6,,26.757920873102364,10.504612608728628,12.046672973825292,28.492389494988203,22.198404049355513,0.0
